2011;LCM;F;1;45 - 49;200;BREAST;CAROLINEKRATTLI;USA;08.05.2007;02:45.2;165.2
2011;LCM;F;1;45 - 49;50;FLY;EDITHOTTERMANN;RSA;2/19/2011;28.97;28.97
2011;LCM;F;1;45 - 49;100;FLY;K.PIPES - NEILSEN;USA;09.06.2008;01:05.7;65.69
2011;LCM;F;1;45 - 49;200;FLY;K.PIPES - NEILSEN;USA;6/20/2009;02:24.3;144.34
2011;LCM;F;1;45 - 49;200;MEDLEY;K.PIPES - NEILSEN;USA;8/16/2008;02:27.6;147.57
2011;LCM;F;1;45 - 49;400;MEDLEY;K.PIPES - NEILSEN;USA;09.05.2008;05:13.8;313.85
2011;LCM;F;1;50 - 54;50;FREE;LAURAVAL;USA;8/18/2001;28.22;28.22
2011;LCM;F;1;50 - 54;100;FREE;LAURAVAL;USA;8/19/2001;01:01.1;61.13
2011;LCM;F;1;50 - 54;200;FREE;S.HEIM - BOWEN;USA;4/20/2008;02:15.0;135
2011;LCM;F;1;50 - 54;400;FREE;LYNNMARSHALL;CAN;2/19/2011;04:41.2;281.19
2011;LCM;F;1;50 - 54;800;FREE;LYNNMARSHALL;CAN;3/13/2011;09:48.3;588.28
2011;LCM;F;1;50 - 54;1500;FREE;LYNNMARSHALL;CAN;3/13/2011;18:29.3;1109.3
2011;LCM;F;1;50 - 54;50;BACK;J.SWAGERTY - HILL;USA;8/18/2002;32.87;32.87
2011;LCM;F;1;50 - 54;100;BACK;K.ANDRUS - HUGHES;USA;8/17/2008;01:13.6;73.55
2011;LCM;F;1;50 - 54;200;BACK;LYNNMARSHALL;CAN;2/19/2011;02:33.0;153.03
2011;LCM;F;1;50 - 54;50;BREAST;JENNYWHITELEY;AUS;12.05.2009;35.61;35.61
2011;LCM;F;1;50 - 54;100;BREAST;JENNYWHITELEY;AUS;4/19/2008;01:19.9;79.91
2011;LCM;F;1;50 - 54;200;BREAST;JENNYWHITELEY;AUS;4/23/2008;02:55.1;175.15
2011;LCM;F;1;50 - 54;50;FLY;ANGELAZINGLER;GER;06.04.2004;30.24;30.24
2011;LCM;F;1;50 - 54;100;FLY;LAURAVAL;USA;8/17/2001;01:07.8;67.81
2011;LCM;F;1;50 - 54;200;FLY;LAURAVAL;USA;8/18/2001;02:31.6;151.55
2011;LCM;F;1;50 - 54;200;MEDLEY;CECILIASTANFORD;RSA;3/18/2011;02:36.6;156.62
2011;LCM;F;1;50 - 54;400;MEDLEY;LYNNMARSHALL;CAN;2/19/2011;05:32.3;332.26
2011;LCM;F;1;55 - 59;50;FREE;LAURAVAL;USA;8/17/2008;28.69;28.69
2011;LCM;F;1;55 - 59;100;FREE;LAURAVAL;USA;8/16/2008;01:02.0;62.02
2011;LCM;F;1;55 - 59;200;FREE;LAURAVAL;USA;08.06.2009;02:16.3;136.28
2011;LCM;F;1;55 - 59;400;FREE;LAURAVAL;USA;07.12.2009;04:50.1;290.13
2011;LCM;F;1;55 - 59;800;FREE;LAURAVAL;USA;07.12.2008;10:05.3;605.3
2011;LCM;F;1;55 - 59;1500;FREE;LAURAVAL;USA;07.08.2007;19:14.7;1154.7
2011;LCM;F;1;55 - 59;50;BACK;LAURAVAL;USA;08.12.2010;33.75;33.75
2011;LCM;F;1;55 - 59;100;BACK;LAURAVAL;USA;8/17/2008;01:14.4;74.41
2011;LCM;F;1;55 - 59;200;BACK;N.STEADMANMARTIN;USA;08.06.2009;02:47.5;167.52
2011;LCM;F;1;55 - 59;50;BREAST;JANWICKS;AUS;7/28/2001;38.3;38.3
2011;LCM;F;1;55 - 59;100;BREAST;LODKNAPP;USA;08.06.2009;01:25.2;85.19
2011;LCM;F;1;55 - 59;200;BREAST;LODKNAPP;USA;08.09.2009;03:04.3;184.32
2011;LCM;F;1;55 - 59;50;FLY;LAURAVAL;USA;08.06.2009;31.42;31.42
2011;LCM;F;1;55 - 59;100;FLY;LAURAVAL;USA;08.09.2009;01:09.5;69.47
2011;LCM;F;1;55 - 59;200;FLY;LAURAVAL;USA;07.08.2007;02:41.5;161.51
2011;LCM;F;1;55 - 59;200;MEDLEY;LAURAVAL;USA;8/16/2008;02:43.5;163.45
2011;LCM;F;1;55 - 59;400;MEDLEY;LAURAVAL;USA;07.10.2009;05:49.4;349.4
2011;LCM;F;1;60 - 64;50;FREE;SANDERINAKRUGER;RSA;3/16/2011;30.19;30.19
2011;LCM;F;1;60 - 64;100;FREE;SANDERINAKRUGER;RSA;3/13/2009;01:06.6;66.63
